# cpace v0.1.3 targeted fuzz rerun
# candidate=1f19e278112fa037890848ed6c086addeffdca4e
# candidate_worktree=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro/repo
# original_run_dir=/private/tmp/cpace-1f19e27-fuzz-20260731T082842Z-imacpro
# target=FuzzMessageARoundTrip
# transcript_start_utc=2026-07-31T22:50:09Z

$ hostname
# start_utc=2026-07-31T22:50:09Z
iMacPro.local
# end_utc=2026-07-31T22:50:09Z exit=0

$ sw_vers
# start_utc=2026-07-31T22:50:09Z
ProductName:		macOS
ProductVersion:		15.7.7
BuildVersion:		24G720
# end_utc=2026-07-31T22:50:09Z exit=0

$ uname -a
# start_utc=2026-07-31T22:50:09Z
Darwin iMacPro.local 24.6.0 Darwin Kernel Version 24.6.0: Tue Apr 21 20:17:54 PDT 2026; root:xnu-11417.140.69.710.16~1/RELEASE_X86_64 x86_64
# end_utc=2026-07-31T22:50:09Z exit=0

$ git --version
# start_utc=2026-07-31T22:50:09Z
git version 2.39.5 (Apple Git-154)
# end_utc=2026-07-31T22:50:09Z exit=0

$ go version
# start_utc=2026-07-31T22:50:09Z
go version go1.26.5 darwin/amd64
# end_utc=2026-07-31T22:50:09Z exit=0

$ go env GOOS GOARCH GOVERSION GOTOOLCHAIN GOFLAGS GOENV
# start_utc=2026-07-31T22:50:09Z
darwin
amd64
go1.26.5
go1.26.5

/Users/josh/Library/Application Support/go/env
# end_utc=2026-07-31T22:50:09Z exit=0

$ git rev-parse HEAD
1f19e278112fa037890848ed6c086addeffdca4e

$ git status --porcelain=v1

$ git diff --exit-code --no-ext-diff
# start_utc=2026-07-31T22:50:09Z
# end_utc=2026-07-31T22:50:09Z exit=0

$ FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzMessageARoundTrip -fuzztime=1h .
# rerun_start_utc=2026-07-31T22:50:09Z
# environment=GOTOOLCHAIN=go1.26.5 FUZZ_RACE=0 GOMAXPROCS=4 FUZZTIME=1h FUZZ_TEST_PARALLEL=unset
fuzz: elapsed: 0s, gathering baseline coverage: 0/15 completed
fuzz: elapsed: 4m39s, execs: 26927269 (97507/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m42s, execs: 27217402 (96711/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m45s, execs: 27503033 (95210/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m48s, execs: 27795506 (97453/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m51s, execs: 28087109 (97237/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m54s, execs: 28377455 (96769/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 4m57s, execs: 28662623 (95071/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m0s, execs: 28955199 (97525/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m3s, execs: 29245507 (96769/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m6s, execs: 29530394 (94948/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m9s, execs: 29822876 (97510/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m12s, execs: 30115472 (97531/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m15s, execs: 30405436 (96656/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m18s, execs: 30687982 (94165/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m21s, execs: 30980604 (97558/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m24s, execs: 31270600 (96648/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m27s, execs: 31563456 (97636/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m30s, execs: 31849064 (95202/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m33s, execs: 32141536 (97491/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m36s, execs: 32431620 (96639/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m39s, execs: 32718047 (95522/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m42s, execs: 33010400 (97459/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m45s, execs: 33300700 (96767/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m48s, execs: 33590649 (96650/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m51s, execs: 33877231 (95473/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m54s, execs: 34167330 (96755/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 5m57s, execs: 34457357 (96612/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m0s, execs: 34744866 (95900/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m3s, execs: 35037573 (97569/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m6s, execs: 35327695 (96707/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m9s, execs: 35617794 (96700/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m12s, execs: 35905807 (96000/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m15s, execs: 36196086 (96762/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m18s, execs: 36488172 (97363/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m21s, execs: 36773780 (95203/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m24s, execs: 37066323 (97515/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m27s, execs: 37356480 (96719/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m30s, execs: 37648500 (97340/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m33s, execs: 37934345 (95218/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m36s, execs: 38224695 (96847/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m39s, execs: 38513800 (96369/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m42s, execs: 38806093 (97431/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m45s, execs: 39095956 (96614/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m48s, execs: 39383314 (95792/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m51s, execs: 39674638 (97108/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m54s, execs: 39964730 (96696/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 6m57s, execs: 40252389 (95887/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m0s, execs: 40542807 (96806/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m3s, execs: 40835189 (97461/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m6s, execs: 41124725 (96512/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m9s, execs: 41410177 (95151/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m12s, execs: 41702529 (97451/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m15s, execs: 41992639 (96703/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m18s, execs: 42282299 (96514/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m21s, execs: 42569530 (95783/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m24s, execs: 42862205 (97504/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m27s, execs: 43152275 (96744/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m30s, execs: 43437323 (94962/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m33s, execs: 43729765 (97537/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m36s, execs: 44022127 (97453/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m39s, execs: 44312396 (96757/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m42s, execs: 44597758 (95120/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m45s, execs: 44889948 (97350/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m48s, execs: 45180089 (96716/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m51s, execs: 45465409 (95150/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m54s, execs: 45758494 (97696/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 7m57s, execs: 46048642 (96651/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m0s, execs: 46341204 (97586/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m3s, execs: 46626190 (94932/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m6s, execs: 46918839 (97615/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m9s, execs: 47208483 (96547/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m12s, execs: 47493525 (95014/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m15s, execs: 47786139 (97538/sec), new interesting: 0 (total: 15)
fuzz: elapsed: 8m18s, execs: 48077118 (96993/sec), new interesting: 0 (total: 15)
